place_id,place_name,category,city,state,latitude,longitude,rating,review_count,price_range,indoor_outdoor,crowd_level,opening_hours,wheelchair_accessible,ramp_available,accessible_washroom,elevator_available,accessible_parking,visually_impaired_support,hearing_impaired_support,family_friendly,pet_friendly,public_transport_access,accessibility_score,distance_from_metro_km,distance_from_bus_stop_km,wifi_available,air_conditioned,study_friendly,work_friendly,group_friendly,senior_citizen_friendly,children_friendly,safety_score,cleanliness_score,service_score,ambience_score,tags,user_id,user_age_group,user_budget_preference,user_preferred_category,user_accessibility_need,interaction_type,user_rating_given,visit_frequency,time_spent_minutes,would_revisit,timestamp
PL0001,The Daily Grind - Delhi,Cafe,Delhi,Delhi,28.606722,77.263783,4.8,2440,Moderate,Outdoor,Low,24 Hours,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,6.6,3.18,1.45,Yes,Yes,Yes,Yes,No,No,No,6.8,7.4,8.2,8.8,artisanal coffee|pet friendly|near metro|student hangout|wheelchair friendly|accessible washroom,U0001,35-44,Premium,Cafe,None,viewed,,,1,,6/1/2024 13:49
PL0002,Caffeine Quarters - Noida,Cafe,Noida,Uttar Pradesh,28.645983,77.464052,2.4,3400,Moderate,Indoor,Low,10:00 AM - 11:00 PM,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,7.7,0.12,0.54,Yes,Yes,Yes,No,No,No,No,6.9,7.5,7.7,7.1,artisanal coffee|outdoor seating|student hangout|cozy|wheelchair friendly|accessible washroom|near metro,U0002,45-54,Premium,Bookstore,None,viewed,,,1,,8/1/2024 18:46
PL0003,Aromas Coffee House - Ghaziabad,Cafe,Ghaziabad,Uttar Pradesh,28.609207,77.357947,3.9,1449,Premium,Indoor,Low,10:00 AM - 8:00 PM,No,No,Yes,No,Yes,No,No,Yes,No,No,2.3,2.96,2.22,Yes,No,No,Yes,Yes,No,No,6.1,6.8,8.8,8.5,work friendly|student hangout|quiet study|wifi|accessible washroom,U0003,55+,Budget,Cafe,None,viewed,,,3,,10/12/2024 21:39
PL0004,Kaleidoscope Coffee - Gurugram,Cafe,Gurugram,Haryana,28.501127,77.082813,4.1,1963,Moderate,Indoor,Low,11:00 AM - 11:00 PM,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,5.4,2.15,2.93,Yes,Yes,Yes,No,Yes,Yes,No,6.7,7.9,7.1,7.9,near metro|pet friendly|quiet study|work friendly|wheelchair friendly|accessible washroom|senior friendly,U0004,35-44,Premium,Library,Hearing Impaired,viewed,,,1,,1/26/2023 21:21
PL0005,Monsoon Cafe - Mumbai,Cafe,Mumbai,Maharashtra,19.029787,72.977641,3.7,3489,Moderate,Indoor,Medium,9:00 AM - 9:00 PM,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,6,4.72,2.15,Yes,Yes,No,No,No,Yes,Yes,6.6,8.1,7.8,6.4,work friendly|wifi|artisanal coffee|near metro|wheelchair friendly|senior friendly,U0005,55+,Premium,Cafe,Hearing Impaired,visited,5,occasional,48,yes,10/16/2023 13:32
PL0006,Ground Up Cafe - Pune,Cafe,Pune,Maharashtra,18.525698,73.793829,2.3,3618,Moderate,Outdoor,Medium,7:00 AM - 11:00 PM,No,Yes,No,No,Yes,No,No,Yes,No,Yes,2.3,3.27,1.23,Yes,Yes,Yes,Yes,Yes,No,No,5.7,6.5,7.2,7.6,pet friendly|quiet study|student hangout|near metro,U0006,18-24,Premium,Restaurant,None,saved,,,8,,2/3/2023 20:40
PL0007,Bean There Cafe - Bengaluru,Cafe,Bengaluru,Karnataka,13.037443,77.635611,4.4,1775,Premium,Outdoor,Medium,24 Hours,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,6.1,3.19,1.07,Yes,Yes,Yes,Yes,Yes,No,Yes,5.9,7.7,7.8,7.7,student hangout|cozy|budget friendly|work friendly|wheelchair friendly|accessible washroom,U0007,35-44,Budget,Tourist Attraction,Hearing Impaired,visited,5,occasional,53,yes,10/15/2024 17:43
PL0008,Caffeine Quarters - Hyderabad,Cafe,Hyderabad,Telangana,17.291293,78.468392,4.9,9045,Budget,Indoor,Medium,10:00 AM - 8:00 PM,Yes,Yes,Yes,No,Yes,No,No,No,No,No,6.5,1.7,0.12,Yes,Yes,No,Yes,Yes,Yes,Yes,6.8,7.1,8.3,9.1,wifi|breakfast spot|outdoor seating|student hangout|wheelchair friendly|accessible washroom|senior friendly,U0008,25-34,Premium,Cafe,Elderly,visited,5,occasional,34,yes,7/6/2024 15:45
PL0009,Roastery Coffee House - Chennai,Cafe,Chennai,Tamil Nadu,13.021762,80.306329,3.2,2191,Budget,Indoor,Medium,24 Hours,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,7.4,3.78,2.73,Yes,Yes,Yes,Yes,Yes,No,No,6.4,8.5,8.1,7.2,vegan options|student hangout|work friendly|near metro|wheelchair friendly|accessible washroom,U0009,45-54,Budget,Cafe,Visually Impaired,saved,,,5,,8/15/2023 22:02
PL0010,Barista Lavazza - Kolkata,Cafe,Kolkata,West Bengal,22.656164,88.476436,4.5,8212,Moderate,Indoor,Low,7:00 AM - 11:00 PM,No,No,Yes,No,No,Yes,No,Yes,No,Yes,2.4,4.31,2.71,Yes,Yes,Yes,No,No,No,Yes,6,6.4,7.2,8.3,quiet study|breakfast spot|cozy|vegan options|accessible washroom|near metro,U0010,18-24,Moderate,Cafe,Elderly,viewed,,,5,,2/12/2023 12:58
PL0011,Starbucks Reserve - Ahmedabad,Cafe,Ahmedabad,Gujarat,23.118553,72.686182,3.3,2390,Budget,Indoor,High,9:00 AM - 9:00 PM,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,6.3,2.35,2.37,Yes,Yes,Yes,No,Yes,Yes,No,7,7.6,7.5,8.1,vegan options|outdoor seating|artisanal coffee|student hangout|wheelchair friendly|accessible washroom|senior friendly,U0011,25-34,Moderate,Shopping Center,Visually Impaired,visited,5,occasional,88,yes,7/20/2023 10:30
PL0012,The Roast Room - Jaipur,Cafe,Jaipur,Rajasthan,26.797176,75.898009,3.6,7553,Budget,Both,Medium,10:00 AM - 8:00 PM,Yes,Yes,Yes,No,No,Yes,No,No,No,No,6.3,3.63,1.74,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6.3,7.9,8,7.3,student hangout|pet friendly|breakfast spot|work friendly|wheelchair friendly|accessible washroom|senior friendly,U0012,25-34,Budget,Shopping Center,None,viewed,,,4,,12/7/2024 22:57
PL0013,Kaleidoscope Coffee - Delhi,Cafe,Delhi,Delhi,28.632368,77.144323,3.4,9165,Moderate,Outdoor,High,10:00 AM - 6:00 PM,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,5.8,1.78,0.36,Yes,Yes,Yes,No,No,Yes,Yes,6.9,8,7.5,7.3,vegan options|outdoor seating|artisanal coffee|budget friendly|wheelchair friendly|near metro|senior friendly,U0013,25-34,Budget,Cafe,Hearing Impaired,rated,5,occasional,142,yes,2/3/2024 15:05
PL0014,Third Wave Coffee - Noida,Cafe,Noida,Uttar Pradesh,28.538992,77.452713,3.4,7826,Budget,Outdoor,High,24 Hours,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,7.1,2,2.99,Yes,Yes,Yes,Yes,No,No,No,6.5,8.7,7.7,7.3,outdoor seating|pet friendly|vegan options|near metro|wheelchair friendly|accessible washroom,U0014,55+,Budget,Mall,Visually Impaired,clicked,,,5,,6/24/2024 21:15
PL0015,Ground Up Cafe - Ghaziabad,Cafe,Ghaziabad,Uttar Pradesh,28.644598,77.542258,4.4,3577,Moderate,Indoor,High,7:00 AM - 11:00 PM,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,8,0.51,0.8,Yes,Yes,No,Yes,No,Yes,No,6.2,8,8.7,8.3,work friendly|pet friendly|quiet study|breakfast spot|wheelchair friendly|accessible washroom|near metro,U0015,18-24,Moderate,Museum,None,clicked,,,5,,5/14/2023 21:42
PL0016,Sip & Savor - Gurugram,Cafe,Gurugram,Haryana,28.520851,77.078206,4.8,4546,Budget,Both,Low,10:00 AM - 8:00 PM,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,6.6,1.92,1.32,Yes,No,No,Yes,No,No,Yes,6.6,7.6,8.3,9.4,quiet study|artisanal coffee|work friendly|vegan options|wheelchair friendly|accessible washroom,U0016,55+,Budget,Cafe,Hearing Impaired,saved,,,7,,1/26/2023 9:31
PL0017,Coffee By Di Bella - Mumbai,Cafe,Mumbai,Maharashtra,19.124899,72.950598,4.4,9409,Premium,Outdoor,High,8:00 AM - 8:00 PM,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,6.6,4.92,0.23,Yes,Yes,Yes,Yes,Yes,Yes,No,7.1,6.1,8.3,8.5,budget friendly|artisanal coffee|near metro|breakfast spot|wheelchair friendly|accessible washroom|senior friendly,U0017,45-54,Premium,Shopping Center,Hearing Impaired,viewed,,,2,,2/8/2024 19:01
PL0018,Blue Tokai Coffee - Pune,Cafe,Pune,Maharashtra,18.609478,73.822954,4.6,3632,Moderate,Both,Low,8:00 AM - 10:00 PM,No,No,No,Yes,No,No,No,Yes,Yes,Yes,1.5,0.61,1.84,Yes,Yes,No,No,No,Yes,No,6.1,6.4,8.3,8.6,cozy|near metro|student hangout|outdoor seating|senior friendly,U0018,45-54,Moderate,Cafe,None,viewed,,,2,,4/20/2023 15:27
PL0019,Third Wave Coffee - Bengaluru,Cafe,Bengaluru,Karnataka,12.899752,77.519442,3.3,1521,Budget,Both,Medium,24 Hours,No,No,No,Yes,No,No,No,No,Yes,No,1.4,2.09,0.35,No,No,No,No,Yes,Yes,No,5.8,7.2,7.4,6.7,quiet study|wifi|vegan options|student hangout|senior friendly,U0019,18-24,Moderate,Bookstore,None,saved,,,2,,3/15/2023 9:49
PL0020,Aromas Coffee House - Hyderabad,Cafe,Hyderabad,Telangana,17.354572,78.504869,2.5,2965,Premium,Indoor,Low,9:00 AM - 9:00 PM,Yes,No,Yes,No,No,No,No,Yes,No,Yes,4,1.86,0.77,Yes,Yes,No,Yes,No,Yes,No,6.9,7.7,6.5,7.6,outdoor seating|quiet study|near metro|vegan options|wheelchair friendly|accessible washroom|senior friendly,U0020,35-44,Moderate,Cafe,None,visited,4,occasional,55,yes,1/16/2024 15:45
PL0021,Chai & Chat - Chennai,Cafe,Chennai,Tamil Nadu,13.133613,80.370876,2.3,1553,Budget,Indoor,Medium,10:00 AM - 6:00 PM,No,No,No,No,Yes,No,Yes,Yes,No,No,2.3,4.59,1.69,Yes,Yes,No,Yes,No,No,Yes,5.2,5.9,6,7,near metro|student hangout|breakfast spot|vegan options,U0021,45-54,Premium,Cafe,Visually Impaired,visited,2.4,occasional,78,yes,8/8/2023 10:47
PL0022,Mr Brown Coffee - Kolkata,Cafe,Kolkata,West Bengal,22.593963,88.421738,2,5977,Moderate,Outdoor,Low,8:00 AM - 8:00 PM,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5.8,1.79,2.12,Yes,Yes,No,Yes,Yes,No,No,7.1,7.7,6.5,6.1,breakfast spot|budget friendly|outdoor seating|quiet study|wheelchair friendly|accessible washroom|near metro,U0022,18-24,Premium,Cafe,Visually Impaired,clicked,,,10,,1/7/2024 12:09
PL0023,Third Wave Coffee - Ahmedabad,Cafe,Ahmedabad,Gujarat,23.007114,72.556015,2.2,5564,Moderate,Outdoor,High,9:00 AM - 9:00 PM,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,5.4,3.21,0.34,Yes,Yes,Yes,No,No,No,Yes,7.2,7.9,7.3,6.5,quiet study|work friendly|outdoor seating|student hangout|wheelchair friendly|accessible washroom,U0023,25-34,Premium,Cafe,None,visited,4.4,first_time,47,yes,10/29/2024 22:48
PL0024,Deja Vu Cafe - Jaipur,Cafe,Jaipur,Rajasthan,26.883191,75.835108,2.6,5721,Moderate,Both,Low,11:00 AM - 11:00 PM,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,7.9,1.01,1.92,Yes,No,Yes,Yes,Yes,Yes,Yes,7.1,7.9,7.3,6.3,breakfast spot|budget friendly|near metro|outdoor seating|wheelchair friendly|accessible washroom|senior friendly,U0024,45-54,Premium,Cafe,Hearing Impaired,saved,,,8,,7/25/2024 9:12
PL0025,Pebble Street Cafe - Delhi,Cafe,Delhi,Delhi,28.68136,77.190065,3.8,3773,Premium,Indoor,High,10:00 AM - 11:00 PM,Yes,Yes,Yes,No,No,No,No,No,Yes,No,5.7,1.23,0.56,Yes,Yes,No,Yes,Yes,Yes,No,6.5,7.3,7.4,7.7,pet friendly|artisanal coffee|vegan options|outdoor seating|wheelchair friendly|accessible washroom|senior friendly,U0025,45-54,Premium,Cafe,None,visited,5,first_time,129,yes,6/22/2023 9:59
PL0026,Coffee By Di Bella - Noida,Cafe,Noida,Uttar Pradesh,28.441816,77.427912,4.6,8138,Budget,Outdoor,Low,8:00 AM - 10:00 PM,No,No,Yes,No,Yes,No,Yes,No,No,Yes,3.2,4.4,1.4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6.8,6.7,8.1,8.3,breakfast spot|budget friendly|near metro|wifi|accessible washroom|senior friendly,U0026,55+,Budget,Shopping Center,Family with Kids,viewed,,,3,,10/17/2024 9:36
PL0027,Deja Vu Cafe - Ghaziabad,Cafe,Ghaziabad,Uttar Pradesh,28.707196,77.354634,2.3,2329,Budget,Both,Low,10:00 AM - 6:00 PM,No,No,No,Yes,No,No,No,No,No,Yes,1.8,0.35,0.44,Yes,Yes,No,No,Yes,No,No,5.8,7.7,6.2,6.7,vegan options|budget friendly|pet friendly|student hangout|near metro,U0027,18-24,Premium,Cafe,Hearing Impaired,viewed,,,2,,12/15/2024 18:00
PL0028,The Lazy Mug - Gurugram,Cafe,Gurugram,Haryana,28.537806,77.141046,2.6,793,Premium,Indoor,Low,10:00 AM - 6:00 PM,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,6.6,4.57,2.09,Yes,Yes,Yes,Yes,No,No,Yes,6.9,6.7,6.8,6.5,cozy|breakfast spot|near metro|budget friendly|wheelchair friendly|accessible washroom,U0028,35-44,Premium,Cafe,Wheelchair User,visited,4.5,frequent,164,yes,2/10/2024 20:40
